run_id,source_csv,function,strategy,canonical_strategy,primary_blocker,primary_blocker_label,blocking_categories,severity,problem_count,status,correctness_overall,analysis_vectorized,analysis_vectorized_count,analysis_missed_count,benchmark_protocol,benchmark_protocol_role,paper_main_table_eligible,main_table_result_usable,benchmark_success,speedup,speedup_median,observed_outcome,conclusion_type,error
cgo_candidate_s274_s2710_control_flow_20260611,experiments/runs/cgo_candidate_s274_s2710_control_flow_20260611/paper_results.csv,s274,origin,origin,unknown_or_already_vectorized,unknown or already vectorized,unknown_or_already_vectorized,,,origin_baseline,True,False,0,0,formal,formal_main_table,True,True,True,1.0,1.0,origin_not_vectorized_baseline,origin_not_vectorized_baseline,
cgo_candidate_s274_s2710_control_flow_20260611,experiments/runs/cgo_candidate_s274_s2710_control_flow_20260611/paper_results.csv,s2710,origin,origin,unknown_or_already_vectorized,unknown or already vectorized,unknown_or_already_vectorized,,,origin_baseline,True,False,0,0,formal,formal_main_table,True,True,True,1.0,1.0,origin_not_vectorized_baseline,origin_not_vectorized_baseline,
cgo_candidate_s274_s2710_control_flow_20260611,experiments/runs/cgo_candidate_s274_s2710_control_flow_20260611/paper_results.csv,s274,strong_plain,strong_plain,unknown_or_already_vectorized,unknown or already vectorized,unknown_or_already_vectorized,,,success,True,True,1,0,formal,formal_main_table,True,True,True,2.72554,2.7211,vectorized_speedup,vectorized_speedup,
cgo_candidate_s274_s2710_control_flow_20260611,experiments/runs/cgo_candidate_s274_s2710_control_flow_20260611/paper_results.csv,s2710,strong_plain,strong_plain,unknown_or_already_vectorized,unknown or already vectorized,unknown_or_already_vectorized,,,failed,True,False,0,0,formal,formal_main_table,True,True,True,0.9987,0.9986,non_vectorized_flat,non_vectorized_flat,
cgo_candidate_s274_s2710_control_flow_20260611,experiments/runs/cgo_candidate_s274_s2710_control_flow_20260611/paper_results.csv,s274,diagnostic_only,diagnostic_only,unknown_or_already_vectorized,unknown or already vectorized,unknown_or_already_vectorized,,,success,True,True,1,0,formal,formal_main_table,True,True,True,1.26452,1.2515,vectorized_speedup,vectorized_speedup,
cgo_candidate_s274_s2710_control_flow_20260611,experiments/runs/cgo_candidate_s274_s2710_control_flow_20260611/paper_results.csv,s2710,diagnostic_only,diagnostic_only,unknown_or_already_vectorized,unknown or already vectorized,unknown_or_already_vectorized,,,failed,True,False,0,0,formal,formal_main_table,True,True,True,1.0,1.0,non_vectorized_flat,non_vectorized_flat,
cgo_candidate_s274_s2710_control_flow_20260611,experiments/runs/cgo_candidate_s274_s2710_control_flow_20260611/paper_results.csv,s274,case_card_only,case_card_only,unknown_or_already_vectorized,unknown or already vectorized,unknown_or_already_vectorized,,,success,True,True,1,0,formal,formal_main_table,True,True,True,1.24132,1.2484,vectorized_speedup,vectorized_speedup,
cgo_candidate_s274_s2710_control_flow_20260611,experiments/runs/cgo_candidate_s274_s2710_control_flow_20260611/paper_results.csv,s2710,case_card_only,case_card_only,unknown_or_already_vectorized,unknown or already vectorized,unknown_or_already_vectorized,,,success,True,True,1,0,formal,formal_main_table,True,True,True,1.60396,1.592,vectorized_speedup,vectorized_speedup,
cgo_candidate_s274_s2710_control_flow_20260611,experiments/runs/cgo_candidate_s274_s2710_control_flow_20260611/paper_results.csv,s274,full_method,full_method,unknown_or_already_vectorized,unknown or already vectorized,unknown_or_already_vectorized,,,success,True,True,1,0,formal,formal_main_table,True,True,True,1.14116,1.1393,vectorized_speedup,vectorized_speedup,
cgo_candidate_s274_s2710_control_flow_20260611,experiments/runs/cgo_candidate_s274_s2710_control_flow_20260611/paper_results.csv,s2710,full_method,full_method,unknown_or_already_vectorized,unknown or already vectorized,unknown_or_already_vectorized,,,success,True,True,1,0,formal,formal_main_table,True,True,True,1.59216,1.5855,vectorized_speedup,vectorized_speedup,
